supplier_id,supplier_name,region,country,contact_email,contract_start,contract_end,on_time_delivery_rate,quality_score,total_orders_supplied
: ,: ,Europe,{,",",2021-07-22,2024-11-07,0.92,0.84,669
-:{, 0start,Asia Pacific,: 0--totalcountryatimeemail,-,2020-02-14,2023-07-03,0.87,0.84,726
00_ ,00: ,Latin America,"supplierqualityratetime-country8-, ",":SUP2, 2:_ ",2018-06-22,2022-11-16,0.93,0.79,1566
data ,e00,North America,1 ,_time,2019-05-01,2026-01-12,0.93,0.8,2787
score9-{:-,stime: ,Latin America,: ,:-s6ordersT009,2018-09-03,2024-01-04,0.83,0.77,1900
contact,,Latin America,"sT00: supplierT00,.e",T007,2019-07-26,2024-12-17,0.92,0.83,571
"contract@,contact",regionqualitynan9,Middle East & Africa, s,"00: 0.,",2018-05-15,2023-03-05,0.92,0.85,1275
",,s7idon00.al,contact_",",n ",Asia Pacific,contactorders_,: ,2020-05-04,2025-05-31,0.83,0.88,885
end,: ,Asia Pacific,:_}-T00},}start}--T00emailT00regionstart,2019-07-25,2025-06-12,0.89,0.82,3113
: , ,Latin America,",{",contracte,2021-05-19,2022-12-12,0.9,0.85,1244
T00,: ,Middle East & Africa,contact,:00:.- ,2019-12-10,2021-12-01,0.82,0.87,3114
quality 0 9e,supplier___name,North America,_ ,"00, ",2021-03-01,2022-06-14,0.93,0.84,710
,"on-:-total{a00-,",Latin America,", ",suppliercountry__8 ,2020-08-05,2023-03-05,0.85,0.78,1650
region,,Asia Pacific,:,:00country24,2020-07-21,2023-01-17,0.82,0.77,3100
: ,_rate: ,Europe,: ,4,2021-03-23,2024-08-03,0.87,0.88,888
: ,data ,Europe,":, ",",e8SUP-00:00:. ",2021-07-22,2024-12-15,0.82,0.81,717
: , ,Europe,",SUP",_,2018-05-14,2024-11-14,0.9,0.83,3111
l: ,", ",Asia Pacific,: ,,2018-06-18,2021-12-01,0.92,0.8,993
: ,A_id{end5_}_ ,Latin America,:: ,: ,2019-09-22,2022-12-05,0.92,0.8,759
,: ,Middle East & Africa,countrynamendelivery_a:.total: ,on,2019-11-15,2023-09-20,0.88,0.84,2115
- ,total_contractorders,Middle East & Africa,: 00,", ",2019-10-05,2023-05-12,0.93,0.88,1014
 000: ,contractSUPend,Asia Pacific,",SUPquality: ",id,2018-11-10,2024-07-14,0.87,0.79,1934
,region,Europe,", ",start,2020-07-10,2023-01-14,0.93,0.82,1397
"contactemail00, ", ,Europe,:a ,{ ,2019-07-01,2021-12-01,0.82,0.81,877
:_time,:-,Latin America,s_,"202, ",2019-06-20,2021-12-01,0.87,0.84,540
,._,Middle East & Africa,_ 00supplied,a00time,2018-05-10,2025-03-12,0.82,0.86,776
",2stotal",_l,Europe,",contract{",{,2021-07-15,2026-01-12,0.93,0.77,1460
", 3","contract,_total0- 0suppliedT00, 058} 0}on_:00",North America,,_: ,2018-05-10,2024-12-14,0.82,0.86,1018
n__orders,-:8.end.,Middle East & Africa,country75 ,9:00,2020-05-10,2025-12-21,0.93,0.78,1556
", ",8datasupplier e,North America,"Scountry,start ",:-,2019-05-23,2026-01-12,0.83,0.85,2518
contract_8-e_p82-l 3 9,A3a:,Asia Pacific,06{,", ",2018-07-18,2021-12-29,0.93,0.82,3103
-008_supplied,", ",North America,s ,: ,2019-10-03,2024-05-11,0.92,0.88,880
: ,": 0rate,_supplier, 0supplier00",Europe,,supplier-s_,2019-07-20,2023-12-18,0.88,0.79,1249
SUP_rate,", ",Europe,_ ,", ",2018-07-22,2023-06-21,0.92,0.8,657
SUP.p,a ,North America,"total79, ",country ,2019-11-08,2023-06-21,0.9,0.88,1367
end_o}0,", ",Latin America,008 ,: ,2020-02-01,2024-09-23,0.93,0.85,779
2,email5a,Asia Pacific,"00_ 0_., ",", ",2018-08-18,2024-07-12,0.82,0.88,2328
", ",supplied,Middle East & Africa,supplier on, ,2020-06-03,2023-08-20,0.84,0.82,1637
: ,:scorescore_id,Europe,_,}_supplier 0.l00,2019-02-03,2023-03-01,0.83,0.77,1306
 0-s,", ",North America,contact-score,}:@9.contract4name00,2019-10-12,2024-08-17,0.83,0.77,2110
: : ,supplier_,North America,A ,", ",2021-01-14,2025-01-14,0.93,0.88,1343
", ",", ",Europe,total, ,2018-07-30,2024-07-08,0.91,0.83,1894
"supplier,",_.3-4 ,North America,", ",,2020-10-03,2025-07-21,0.82,0.83,1247
", -",-supplier,Europe,"}contract_start7contact_rate.,00:",: ,2018-07-12,2022-12-09,0.88,0.88,1220
contacte 0email{orders__4email,contactn,Europe,  ,total43end,2019-06-01,2024-01-13,0.92,0.82,1991
T001__u,: ,Middle East & Africa,:9 1,supplier_start{8,2019-03-20,2024-06-30,0.88,0.88,3035
: ,: ,Europe,", ",supplied_00___,2018-05-10,2021-12-01,0.83,0.81,2537
supplier,"SUP, ",North America,}end}3 0{},total_,2018-09-02,2024-11-01,0.92,0.84,1006
: ,,North America,"dataqualityid:-T00T00contract_::,rate-total", ,2019-09-09,2024-07-29,0.88,0.88,648
country,: ,North America,: ,id,2019-12-12,2021-12-01,0.87,0.88,2105
", ",_,Europe,"00 0named{, ",: ,2021-01-29,2025-11-05,0.83,0.88,1561
e0000: ,: ,Europe,0_emailstart.,n ,2018-08-05,2022-04-01,0.92,0.77,1254
: ,1time.totalidemail,Europe,",__00", ,2019-07-18,2024-06-01,0.83,0.77,1472
", 0, ",:8,Middle East & Africa,00_,:supplierscoreon--11contact_s,2019-12-30,2025-11-14,0.86,0.77,1601
,1 ,Europe,", ",data ,2021-07-22,2022-06-20,0.92,0.79,721
: , ,Latin America,country.._,on ,2019-11-21,2024-12-14,0.93,0.81,3104
 ,: ,Europe,"202}., ",", ",2021-07-10,2022-01-05,0.83,0.81,863
,"_-:., ",Asia Pacific,"id, ",: ,2018-05-10,2022-06-29,0.86,0.85,2118
quality_score{,:00_i,North America,0SUP,", ",2019-09-01,2025-01-01,0.82,0.88,1880
 ,ratessupplied,North America,":oa, ",:}.,2018-11-03,2023-01-12,0.82,0.88,669
supplier_:- ,", 8contract00e",Europe,: ,supplier1_ ,2019-11-03,2023-07-04,0.82,0.8,3112
,", o",Europe," 0,.-0300",a_ratecontact_},2021-04-27,2023-01-30,0.89,0.82,641
region-}12-time-: ,supplied_ordersstart,North America,"email, ",country,2019-11-20,2026-01-12,0.93,0.84,1217
,"deliverycountry:, ",North America,, 0{supplieddelivery.total},2019-11-12,2024-04-23,0.82,0.86,1315
@5 ,e8: ,Europe,delivery1_. ,aa,2021-07-22,2024-07-11,0.87,0.84,920
oonl 0}totala},",",Europe,: 8{,-an ,2021-04-05,2022-12-20,0.87,0.88,1846
": a-2quality,i.-4id.93, ",l9end ,Europe,: ,data ,2019-12-08,2023-09-14,0.93,0.87,3104
-: ,email,North America,: _id,contact.a.19T0037,2018-10-01,2024-06-13,0.93,0.87,1569
on,: ,Europe,_SUP,:raten-: ,2018-07-13,2024-12-20,0.82,0.86,958
- ,7,Latin America,: ,"__--:00orders,, ",2018-12-14,2021-12-01,0.93,0.77,1236
{,__ ,Asia Pacific,,"}_quality 09s,suppliernamerate200rate3email",2020-07-10,2024-05-13,0.82,0.87,1254
supplier , ,Europe,", ",-00,2019-04-10,2025-03-12,0.82,0.83,3104
rate_email00 0{T00,supplier_ 8orders_8_,Europe,", ",: ,2019-04-14,2024-06-09,0.93,0.78,560
: ,08:{ ,Asia Pacific,startT00T00a,002contractnsrate,2019-12-14,2024-12-18,0.82,0.77,772
: ,", ",Middle East & Africa,", 81id",:},2021-05-01,2024-06-18,0.86,0.87,1270
_: ,,Latin America,supplier1-start{4odelivery-20000,:00,2020-02-01,2026-01-05,0.86,0.83,3106
: ,0,Latin America,supplierscoree,8delivery 0-4-8data,2020-03-18,2024-06-27,0.82,0.82,3057
: ,supplier_,Latin America,",n_",a: ,2019-04-30,2024-06-05,0.82,0.87,1304
: ,:1,Asia Pacific,-,{,2020-05-15,2021-12-01,0.92,0.77,565
 0,"-:T000-, ",Europe,", ",":-start,ssupplier",2020-07-29,2024-01-12,0.89,0.83,1347
00,supplier 0,Middle East & Africa,"18_7_{emailscoreT00, ",suppliern}5,2021-07-22,2026-01-12,0.9,0.8,2074
supplier ,p_lcontractsupplier2sname1,Middle East & Africa,_so,: ,2020-08-20,2024-11-01,0.93,0.77,3117
: 4,: ,Middle East & Africa,":_, contract",",_ ",2019-02-22,2021-12-01,0.91,0.84,2859
SUPqualitytimedelivery,: _,North America,":, ",_0,2018-09-03,2025-01-16,0.87,0.77,661
.,: ,Asia Pacific,: ,-31: ,2019-11-22,2023-09-12,0.82,0.83,1920
@,,Asia Pacific,.,_}_total,2021-07-22,2022-01-12,0.93,0.88,2144
__00},"supplier, ",North America,:contact,: ,2019-11-20,2024-12-16,0.93,0.86,663
: , 0,Asia Pacific,,on_00rate_7,2020-05-04,2026-01-03,0.86,0.81,1012
:.aendorders.a,country-_8rate,North America,: ,,2019-05-26,2023-05-22,0.86,0.88,1244
SUP_4,quality ,Europe,SUP_l ,_,2019-02-06,2024-12-21,0.93,0.85,2885
:: ,{e0,Middle East & Africa,},",countryid@ ",2020-12-14,2023-12-13,0.93,0.85,3120
", 018contactscore: ",contract4,Asia Pacific, 4datastart ,_start{,2018-11-26,2023-05-20,0.82,0.82,721
: ,score5: ,Latin America,: ,  ,2020-09-15,2024-12-01,0.91,0.85,1008
8delivery ,: ,Europe, 0 0_rate,: ,2021-07-22,2022-11-01,0.87,0.81,696
total_ 0.apesrate,: ,Asia Pacific,,} 0time,2018-07-05,2023-03-03,0.87,0.88,1338
supplier00,s,Europe,5contractend00,country,2018-11-03,2024-03-08,0.91,0.85,3081
s,",T00- ",Europe,}7_-score12-email6o_rate,"supplier,0e, ",2019-12-18,2026-01-12,0.87,0.81,1245
: 0total ,"name__contract, ",Asia Pacific,_,ne0000_deliveryT00s: ,2020-03-12,2022-03-01,0.85,0.82,1232
: ,"contract,__,{9",Europe,data:. 0,.__,2019-02-05,2023-09-30,0.85,0.78,2119
-{ 0.}3- __o{,contract,Asia Pacific,T00_time_ ,"SUP, ",2018-12-15,2023-04-08,0.93,0.83,1354
supplier ,,Europe,start.,"atime-,}. ",2019-02-08,2022-11-03,0.83,0.88,1007
score:5- ,supplier_rate,Asia Pacific,", ",supplier_- ,2019-11-18,2025-02-13,0.93,0.77,1319
":8,__name}.}",: ,North America,,on00_8rate.,2018-08-25,2022-12-01,0.93,0.82,1225
_-: ,T00on__{,Latin America,on,total-0contractstart,2019-01-20,2024-12-08,0.82,0.84,2113
",, ","4supplier.on_supplied-, ",Europe,,data__name-score,2018-07-30,2025-03-18,0.87,0.8,3112
_orders}3_ :00:00{,_,Asia Pacific,:: ,: ,2020-12-18,2024-09-21,0.83,0.85,2102
{,:.,Asia Pacific,: 00a,00_,2019-11-20,2021-12-01,0.82,0.86,642
,contract_: ,Europe,", ",s ,2018-08-22,2026-01-12,0.83,0.87,696
: ,: ,Asia Pacific,,: ,2019-11-02,2024-04-13,0.93,0.77,1572
", ",", ",Europe,_ ,",namep,-T007{,.,4",2020-07-30,2023-11-03,0.93,0.88,2616
A,.{: ,Europe,contract_,,2019-07-03,2022-10-21,0.93,0.84,880
 ,: ,North America,5,}score..rate,2020-08-05,2021-12-12,0.93,0.88,1564
}6 ,: ,Asia Pacific,", ",4end ,2019-07-01,2026-01-12,0.89,0.83,2115
 ,00 ,Europe,,contact22s_98,2021-06-02,2024-01-20,0.92,0.87,2122
suppliercontract8_a_@total_end,,North America,: , S{1,2018-05-10,2025-03-12,0.88,0.86,3104
: ,00,North America,supplier: ,: ,2020-05-15,2023-01-22,0.93,0.79,767
SUPid00startcontractcontract} ,,Europe,: ,contract-a_T00id-0p24email ,2019-02-14,2026-01-12,0.9,0.83,964
: ,"}1email, ",Asia Pacific,", ",_on,2019-06-18,2022-05-01,0.93,0.81,1648
: ,", ",Europe,00,: ,2020-04-30,2023-05-17,0.88,0.85,1930
: ,: ,Europe,,", ",2018-06-18,2022-06-01,0.86,0.88,870
: _,: ,Europe,: ,: ,2020-07-04,2022-05-12,0.89,0.82,895
: ,"contact@,email",Europe,: ,,2020-02-03,2021-12-01,0.89,0.88,805
:1 ,contract4 ,Europe,country{a-. ,: },2018-05-10,2024-09-05,0.86,0.77,2996
:00ratesupplier_name,_8::5_i,North America,: ,supplieroid_.5,2020-09-05,2025-06-08,0.83,0.77,1686
",rate ",o_delivery_end,Middle East & Africa,supplier_-start,::}end ,2020-12-10,2026-01-12,0.93,0.8,1255
_ ,contact: ,Middle East & Africa,contract,0,2020-07-22,2025-01-01,0.82,0.78,562
,}countryregioncontract_supplied,Europe,supplierSUPa_end ,:contact4.1_5T00,2018-07-14,2022-09-12,0.83,0.77,755
SUP-0. ,: ,Europe,.: ,"_7_, ",2020-07-18,2026-01-12,0.83,0.88,792
on_2-e9: ,,Middle East & Africa,,"contract 0_l 0{contract, ",2018-05-10,2025-04-13,0.83,0.83,1862
",_",005onquality__contact0:.,North America,", quality",contract ,2021-07-22,2024-06-14,0.87,0.83,1207
":00:start00, ",s_,Asia Pacific,contract.9,"}88, ",2018-05-10,2024-12-02,0.93,0.86,546
supplied__{,: ,Europe, ,. ,2021-05-20,2024-02-17,0.87,0.88,1563
A5ldelivery{on@id,: ,Asia Pacific,", 6",s8 ,2019-07-10,2025-12-29,0.89,0.84,1033
totalratedelivery end1.,:00 ,Asia Pacific,,":,{.total",2019-07-29,2023-01-18,0.85,0.81,1123
,region ,Latin America,email ,:iqualityo4,2021-04-12,2025-12-17,0.86,0.77,742
.,", ",North America,@.,":-, ",2018-10-21,2021-12-01,0.91,0.87,1059
quality 0region: ,202,Europe,: 0_: ,: ,2018-05-10,2024-12-12,0.82,0.88,3102
l,: ,Asia Pacific,supplier 4,contractida_score,2020-07-03,2021-12-01,0.84,0.85,1842
 ,_start ,Europe,", ","},",2018-12-05,2024-03-12,0.92,0.8,684
country,":, ",Europe,:__ ,",",2019-12-15,2024-08-21,0.82,0.77,3120
,__name00rate,Europe,0_score_00-8n:: ,. ,2018-05-10,2023-12-20,0.82,0.87,1975
20200,dataon_,Europe,._{{9nid00T00end-,supplier_orders0000,2018-06-12,2026-01-12,0.86,0.8,1253
_.totals,"_ 0, {",Latin America,4T00,,2020-09-22,2026-01-12,0.93,0.87,1916
,:countryicountryon,Middle East & Africa,_ 03.,,2019-07-22,2022-03-13,0.82,0.83,1315
8_delivery88,",end 0aon",North America,: ,: ,2018-09-12,2026-01-12,0.82,0.88,703
supplier.} 0 0-aa 0{{: ,", ",Europe,-SUP-porders:supplied,"., ",2018-07-21,2024-07-11,0.93,0.87,2039
":ratesupplier00,end",T00 0 _delivery1_,Latin America,S8_4a: ,: ,2019-05-10,2026-01-12,0.93,0.82,1958
: ,: ,North America,_region,p__supplied_orders,2021-07-10,2025-03-01,0.82,0.82,2982
:email0000,region,Latin America,--,} ,2021-02-18,2024-09-18,0.93,0.88,1341
,", ",Europe,supplier7 ,region ,2021-04-08,2022-09-08,0.88,0.81,1903
on-_,",1 1country 0-score, ",Europe,contact000region,00o,2020-05-10,2026-01-05,0.92,0.81,3107
1,o,Europe,@ ,", ",2019-05-23,2024-11-10,0.89,0.8,737
 ,"SUP,, ",Latin America,supplierid3,supplier_name:: ,2019-06-30,2021-12-01,0.93,0.85,716
: ,totalp_data ,Middle East & Africa,:.,",s0",2020-08-29,2026-01-12,0.85,0.77,2163
: ,contacttotal,Asia Pacific,contract_,", ",2018-05-10,2024-05-12,0.92,0.86,757
:00 0ss,:supplier__delivery,Europe,data 00,:- ,2019-09-17,2022-12-29,0.93,0.86,986
 ,region_93-@-email863T00 ,Asia Pacific,contact,,2019-11-10,2023-08-10,0.93,0.82,1021
: , ,North America,,contactemail_,2019-06-30,2021-12-05,0.86,0.77,1117
on,contact_,Latin America,: ,", ",2021-07-22,2024-01-17,0.83,0.78,3104
":00,supplied",:time,North America,  ,a ,2019-03-01,2021-12-01,0.82,0.87,668
,: ,Europe,: ,lsupplier,2020-09-22,2026-01-12,0.84,0.88,1302
",000 ",s_,Asia Pacific,00start,_ ,2020-07-18,2026-01-12,0.88,0.85,2123
 ,:,Europe,"contact, 0.",: email,2021-04-10,2024-03-13,0.82,0.81,1242
, ,Europe,_708,{_rate,2019-07-25,2021-12-01,0.93,0.88,1250
scoreT00,: ,Europe,"a_0,name: ",_on,2020-09-01,2022-01-29,0.88,0.87,1853
00-total-T00: 0100.8,": , ",Europe,1 ,: ,2021-07-22,2024-09-17,0.89,0.82,710
9 0 ,contact_-__9,Latin America, ,contract: 000_i_on,2018-11-01,2025-04-12,0.82,0.77,1254
: ,_ ,Middle East & Africa,"suppliera00-1, ",_na{,2019-03-24,2025-04-25,0.89,0.85,884
", ",: p,Europe,:_suppliera1}emailee80,contact: ,2019-03-18,2021-12-01,0.85,0.87,1755
",{_",: ,North America,",-}8region---supplied-timesa_time",9500:00nameea,2019-07-18,2025-03-20,0.87,0.81,1918
,-,Asia Pacific," 0, ",on_:_,2020-03-18,2023-05-29,0.82,0.77,1889
contract,", ",Europe,: ,",starte",2020-09-22,2026-01-12,0.93,0.84,885
suppliedcountry,email_00,Asia Pacific,p,",so}:1",2019-07-14,2023-09-14,0.93,0.77,933
A totalaorders ,"nn4, ",Latin America,",pnregionemail20",name ,2020-02-05,2023-11-12,0.92,0.77,2192
n ,00idon-T00{,Middle East & Africa,: 0:_,"qualityendorders-70, ",2019-11-15,2025-01-12,0.93,0.77,663
regioni ,}85end,Middle East & Africa, ,9._end,2019-12-22,2023-03-12,0.82,0.77,3120
":00T00, 6-contractcountry",send-.regioncountry,Europe,:rate,", ",2018-11-20,2024-12-11,0.89,0.88,3120
-nSUPa_iT00T00data00,contract,Latin America,,202: ,2020-09-03,2023-12-14,0.83,0.88,1445
 ,,North America,: ,: ,2021-06-12,2021-12-01,0.82,0.87,1123
SUPcontact9 s,8SUP,Europe,: ,dataT00n_.deliverye{8 ,2018-05-10,2023-01-12,0.87,0.83,748
T00T00:T00: {,p00on1: ,Europe,_contract_ 0_}:1supplied,lend,2018-05-10,2021-12-13,0.82,0.77,1330
supplier ,contact ,North America,"::n-country-, ",: {}o,2020-06-16,2022-12-25,0.91,0.87,2082
", ",data,Europe,}1,: ,2018-05-10,2022-08-01,0.93,0.88,570
on{__o@{-,contract1,Europe,start_00,rate,2021-02-14,2026-01-12,0.88,0.77,1853
"p_,8_na600,8, ",",  0time ",Asia Pacific,quality46score@_,rate,2018-08-18,2023-12-29,0.93,0.87,1824
_end9 00,delivery_start: ,Europe,econtact_{,supplied: ,2020-02-14,2022-03-02,0.82,0.83,3120
contractenda,-,Europe, 00 ,@,2021-07-22,2024-01-05,0.82,0.77,2106
,contractidsupplier80 ,Asia Pacific,"8-: 01, ",total00::{e,2018-05-10,2023-05-30,0.93,0.88,730
", ",delivery ,Europe,._7,"contactendidi:00 0._9,57,00@-: ",2020-02-22,2025-12-01,0.83,0.83,540
s 00el3}1supplied,:,North America,_,: ,2020-12-17,2024-12-21,0.93,0.87,796
: ,data,North America, ,on.suppliedn12non,2020-09-25,2026-01-12,0.91,0.85,3106
7supplier:on_00,007id,Asia Pacific,,:-,2019-07-10,2022-03-13,0.83,0.85,2838
: S00,. ,North America,quality-.8-.6: ,: ,2019-12-27,2026-01-12,0.93,0.77,1896
country@,"_startratepe, 6 0",Asia Pacific,{, ia-: 0,2019-07-09,2025-12-21,0.88,0.88,2585
: ,contract ,Asia Pacific,",_",end,2020-10-18,2021-12-01,0.82,0.83,1259
: ,00,Asia Pacific,emailend n,},2018-05-10,2022-09-12,0.84,0.8,2106
", 4","4idtotalqualitycontact22: ,_ ",North America,supplier}__score: ,email:5SUP.e0--6pn:.,2020-07-12,2024-07-22,0.83,0.83,1725
00}n{_orders2,{,Latin America,_email,ss ,2019-03-12,2023-09-12,0.83,0.88,582
,_quality,Europe,: end,: ,2020-12-17,2021-12-01,0.93,0.83,1564
", contract",suppliersupplier_start,North America,: ,s,2021-05-18,2024-03-19,0.82,0.82,1222
":contact, ",", ",Asia Pacific,pqualitye_supplied}orders,-0,2018-12-04,2026-01-12,0.88,0.81,1350
:: ,:__,Latin America,:,202,2019-07-10,2022-05-22,0.86,0.88,1892
contactssupplier,9 ,North America,score,:start00,2020-03-10,2026-01-12,0.86,0.77,1015
:{contract-endia8delivery.4delivery7 0:score8contractdelivery8l@idquality_country,:eon4score52id_7,Latin America,qualityscore-contract 0emailcontract 0s,":_timeon,contract",2020-06-04,2023-07-02,0.83,0.88,1774
}}acontract ,: ,Middle East & Africa,", ",47countryname_scorecontractorders,2020-08-03,2025-01-18,0.83,0.87,2109
: {,", ",Europe,: ,"contract_,_score",2020-09-10,2024-07-05,0.83,0.85,1941
:-1time {,: ,Middle East & Africa,contract,totalcountryocountry{}0,2019-05-01,2026-01-12,0.92,0.85,911
":_512contract_, ",SUP,Europe,: ,", end_start",2019-08-10,2026-01-12,0.82,0.77,975
", ",: ,North America,qualityscore,: ,2020-07-21,2023-01-14,0.93,0.84,2033
supplier_on00,",timesupplied__,p_",Europe,", ",: ,2021-07-07,2024-01-05,0.84,0.85,1852
,on__,Europe, 000,,2018-12-05,2026-01-12,0.93,0.81,1261
: ,: ,Europe,:,:_:00 ,2020-04-03,2024-02-21,0.93,0.87,770
",5-s2800id_.a ",_,Europe, {,ps00,2020-02-22,2024-07-06,0.93,0.83,1912
", ",:o_-7,Europe,4country8@supplier_p@,1score,2021-07-22,2025-03-10,0.91,0.85,2116
s00},contact: ,Europe,-0. ,_eo_regiontotal,2019-07-18,2025-01-29,0.89,0.87,668
: , {,Europe,countrya}on,o,2020-02-14,2023-01-16,0.89,0.88,1002
: ,oe@_.e3} ,Latin America,-: ,"contract__time,",2019-09-05,2026-01-12,0.82,0.88,1899
 0,_,Latin America,", ",202,2019-03-22,2023-08-06,0.9,0.85,2115
4contract ,", ",Europe,supplied3 ,a ,2020-12-15,2024-09-12,0.82,0.77,1988
l,T00,Asia Pacific,"_,",n0_9enda,2020-07-05,2022-03-08,0.88,0.82,2112
:: ,,Middle East & Africa,", ", ,2021-07-22,2025-12-01,0.88,0.82,2895
o}total869: ,", ",Asia Pacific,:00,:_rate,2020-12-20,2023-11-12,0.86,0.85,540
: _ ,.9,North America,_00-,_T00: {,2018-05-10,2025-12-16,0.82,0.87,864
_,quality8 ,North America,", ",", ",2020-07-22,2022-09-05,0.93,0.81,880
", ",::00,North America,2_,quality,2021-05-02,2023-04-01,0.82,0.84,977
"_,8-.",: ,North America,: 0 0,: - ,2020-01-08,2024-12-14,0.87,0.83,911
start: ,,North America,start,:8,2019-01-20,2026-01-12,0.82,0.84,1341
supplier_country,:-:75rate,North America,id7_},":,",2020-12-05,2022-12-21,0.89,0.85,3114
n_name2}sT0000. 1,A_ ,Middle East & Africa,: ,e_region,2020-02-20,2021-12-01,0.89,0.85,934
", ",00,North America,: ,", ",2018-08-29,2021-12-01,0.89,0.77,3120
"00,1",SUPcountry _}supplied:: ,Latin America,", ",: ,2019-11-12,2022-12-03,0.83,0.86,3113
_ 0onid,2contract8name4 ,North America,_name,", ",2021-06-07,2025-07-22,0.88,0.88,974
{,supplierquality_,North America,.95,"contacton.48, ",2018-05-10,2025-01-18,0.87,0.87,603
- ,- 0total8contract_supplied_-,Asia Pacific,: ,"email, ",2019-04-10,2022-03-04,0.82,0.86,737
: ,"contactid,._8.",Asia Pacific,,A4.00:7{name00,2019-07-15,2025-07-16,0.88,0.87,2190
"-,_", 0 0name,North America,l,,2018-07-22,2026-01-12,0.85,0.88,979
contract_ },id,Europe,9 _orderssupplied,202-T0000:supplier_-score4,2018-05-10,2022-11-22,0.92,0.8,542
_ ,id: ,Europe,contract5country008email,: ,2018-05-10,2024-03-13,0.82,0.81,713
: ,contactsupplier8_@,North America,supplier_,", ",2019-12-02,2023-11-17,0.93,0.88,762
data_73,contactnrate ,Latin America,- _0000}00T00a ,8: ,2019-01-10,2023-03-13,0.93,0.87,1249
_8@_ ,: ,Europe,: ,", ",2018-05-10,2026-01-12,0.93,0.88,1366
: ,", ",Europe,",9_,rate",":, ",2020-06-14,2024-11-12,0.89,0.86,1554
",, ",supplier,Latin America,contact,: ,2020-03-27,2024-04-14,0.89,0.84,1466
:s.a},.{time_ 01T00,Europe,supplied ,:_,2020-03-07,2025-09-21,0.84,0.87,2173
", ",8.on00_: ,Europe,email, ,2019-07-30,2021-12-01,0.87,0.77,1936
quality:00,8 ,Middle East & Africa,00-_7,: ,2018-06-12,2026-01-12,0.82,0.83,970
", ", ,North America,:regionstart,,2018-07-26,2024-09-16,0.84,0.88,983
",contact, ",contacteo,Latin America,: ,"contactquality, ",2020-09-01,2024-03-23,0.88,0.82,616
 ,: ,North America,"supplierquality,.-:supplier: ",on,2020-11-10,2025-04-29,0.93,0.83,2879
__end,: ,North America,,_email_,2018-05-10,2022-12-30,0.91,0.86,670
e@7_9SUPend,total{n ,Latin America,_id,",_ @",2018-05-10,2026-01-12,0.93,0.81,2882
 ,-,North America,S9,}: ,2020-07-01,2026-01-09,0.88,0.85,1361
__e,:deliverysupplied 0T00on,North America,region,":onilrate.3country_idstart4 0.}2, ",2019-07-25,2025-03-09,0.88,0.88,2113
total,contract-,Latin America,"-,e_@5id",2,2018-07-01,2023-12-12,0.93,0.88,1946
{,: ,Europe,"quality 0:.8:,",_ ,2020-08-20,2024-06-14,0.92,0.88,3054
_-,region: ,Asia Pacific,: _,: ,2019-01-01,2022-07-17,0.82,0.8,719
contract}start,,Europe,n_a,__ ,2019-12-05,2023-01-12,0.88,0.84,3116
emailorders_: ,",s",Europe,"_,_ ",totalscore.7o,2020-07-03,2024-01-12,0.89,0.84,2983
,,Latin America,__start_,,2021-07-22,2026-01-03,0.82,0.86,1001
: ,contractSUPid,North America,", ",: 1,2018-07-12,2021-12-01,0.88,0.84,1340
":_ic:00.00,country, ",}SUP _email00,Latin America,,:01-asemail00asupplier,2021-07-10,2026-01-12,0.82,0.87,1563
supplier}:region ,country ,Latin America,a,"contact.5supplier, suppliercontractid.",2019-11-20,2024-11-18,0.91,0.85,1241
}5,start{,Asia Pacific,lnametime9{,o,2021-01-17,2025-01-18,0.83,0.86,646
"contract_time.7,. ", ,Asia Pacific,0,--SUP,2019-03-22,2025-04-13,0.92,0.87,1288
contract8: ,,Europe,",n ",supplier ,2019-01-21,2022-06-12,0.82,0.82,1367
", ",: ,Latin America,: ,", 5",2020-09-18,2026-01-12,0.93,0.8,624
: ,-_T00,North America,}7,SUP8on_,2018-05-10,2024-11-14,0.82,0.81,1673
00:000: ,: 0{00,Europe,: @oa4,", ",2021-02-10,2023-01-13,0.87,0.86,1368
region2name ,contact: ,Asia Pacific,"contract 0-score_.__supplied_:,0000:a",",",2020-01-20,2023-01-07,0.87,0.83,669
:-countrydelivery6,",}deliverySUP",North America,"_,o",", ",2018-07-03,2024-07-20,0.83,0.87,1879
",00,e0",: 0,Middle East & Africa,202supplied0043,9-,2021-07-12,2023-01-05,0.88,0.81,1021
: ,: ,Europe,",-__7.rate",": M.}{emailioa4onoo},iemail_ ",2018-05-10,2024-12-18,0.93,0.82,2117
:, ,Europe,"contract0on__ {80supplied2}orders 078, ",: {T00_9e_,2019-01-12,2024-07-12,0.82,0.85,2878
SUP- , ,Latin America,:{@,-007._email,2018-06-01,2022-07-26,0.86,0.81,1555
: ,T009 supplier.{a_,Asia Pacific,: ,202_,2018-07-14,2026-01-12,0.82,0.78,3102
on__8start}total_end-9_emailstartidsupplier_score,:_score,North America,2} ,00n-email3-} ,2018-06-17,2024-06-21,0.88,0.87,3104
", ",", ",North America,"on_scorei_7aon4.8,00end00",qualityi,2019-11-17,2025-11-14,0.89,0.81,540
SUP9delivery,_1500,Europe, ,SUPSUP_ ,2021-07-22,2022-07-01,0.93,0.88,540
